neuma_instance_id,neuma_instance_url,brief_description,manuscript_id,manuscript_sequence,manuscript_short_title,manuscript_how_accessed,folio,melisma_type_id,page,feast,office_description,genre_description,lit_position,chant_incipit,cao,mode_name,melisma_word,melisma_type,neuma_id,neuma_sequence,melody_volpiano,melody_nhl,neuma_erased,prosula_name,HP_entry-checked,cao_chant_id,feast_id
1,http://cantusindex.org/id/g01260,"Kelly 1 , p. 49, off.concordance (NB off. is assigned to many other feasts, incl. St John the B)",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Joannis Evang. (Dec.27),Mass,Offertory,OfV2,Gloria et honore,\N,1,Eum,Terminal,1,1,hhgh-fhkhhgh-fhkhhg-hjhf-ghge-fgfd-fecd-ffdec-f-,\N,No,\N,Completely,\N,2740
2,http://cantusindex.org/id/g00774,"Kelly 2, p. 50, off. concordance",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Sabb. Hebd. 3 Quad. (),Mass,Offertory,OfV2,Gressus meos,\N,8,iniustitiA,Terminal,2,1,ghkh-hg-hijhg-hgf-g-dg-hkh-hg-dg-hkh-hg-dg-hijhg-hgf-gfe-fed-edc-dcd-fef-gijhgf-gfdc-ghgf-g-kkjhjkjh-,\N,No,\N,Completely,\N,1988
3,http://cantusindex.org/id/g00781,"Kelly 3, p. 52, off. concordance",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Dom. 4 Quadragesimae (),Mass,Offertory,OfV3,Laudate dominum,\N,2,hierusaLEM,Terminal,3,1,k-lmlk-l-jkl-jlkjg-h-gkkk-k-mlkh-kjhg-h-egh-kkh-kge-ghg-hk-egh-kkkh-h-kjhj-,\N,No,\N,Completely,\N,1641
4,http://cantusindex.org/id/g01239,"Kelly 4, p. 53, off. concordance lent",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Fer. 5 de Passione (),Mass,Offertory,OfV3,Super flumina,\N,1,hierusaLEM,Terminal,4,1,llk-lm-lmlh-l-mlk-nnn-lmlh-l-nonl-nnlk-nnl-l-nnk-mlk-kj-k-lml-ml-nnnl-k-khjkkl-,\N,No,\N,Completely,\N,1802
5,http://cantusindex.org/id/g01239,"Kelly 4, p. 53,  off.concordance post-pentecost",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Dom. 20 p. Pent. (),Mass,Offertory,OfV3,Super flumina,\N,1,hierusaLEM,Terminal,4,1,llk-lm-lmlh-l-mlk-nnn-lmlh-l-nonl-nnlk-nnl-l-nnk-mlk-kj-k-lml-ml-nnnl-k-khjkkl-,\N,No,\N,Completely,\N,1614
6,http://cantusindex.org/id/008440,"Kelly 4, p. 53, all. concordance",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Dom. 7 p. Pent. (),Mass,Alleluia,AlV,Alleluia Te decet,Alleluia Te decet hymnus deus (008440),7,hierusaLEM,Terminal,4,1,llk-l-mlk-nnn-lmlh-l-mlk-nnn-lml-l-nonl-nnlk-nnl-l-nnl-mlkkg-hkkj-k-mlkh-lklkkg-kkk-khg-hj-hhg-,\N,No,\N,Completely,8440,1651
7,http://cantusindex.org/id/g00557,"Kelly 5, p. 54, off. conc",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Nativitas Domini (Dec.25),Mass,Offertory,OfV3,Tui sunt caeli,\N,1,DEXtera,Terminal,5,1,dg-kjk-jkh-jkhg-hjge-g--g-kkhg-hjg-egf-edh--gg-gg-gjh-je-g-kkh-jgh-e-geg-,\N,No,\N,Completely,\N,2745
8,http://cantusindex.org/id/g00551,"Kelly 6, p. 55, off. conc",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Nativitas Domini (Dec.25),Mass,Offertory,OfV2,Deus enim firmavit,\N,8,diErum,Terminal,6,1,g-gd-ghk-kk-khjhg-k-kk-khjhg-hgf-hh-gkk-gjhg-gdg-hg-dgh-kkhg-gdf-ff-fd-gh-kkhg-dgh-kkhf-g-dghg-kkh-kkhg-j-dgh-kkh-kkhg-jhk-kkg-kkh-kkh-kkkh-kkh-kgf-g-,\N,No,\N,Completely,\N,2745
9,http://cantusindex.org/id/g01070,"Kelly 7, p. 56, off. conc lent",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Fer. 4 Hebd. 4 Quad. (),Mass,Offertory,OfV3,Benedicite gentes,\N,2,oratiOnis,Terminal,7,1,hhgf-h-dfdf-ff-fd-hh-hf-gge-fg-egijhg-hfd-f-ff-fe-gf-h-kkg-hkjh-fgh-kkh-kkhg-hijgf-ghff-fd-ghgf-fe-,\N,No,\N,Completely,\N,1784
10,http://cantusindex.org/id/g01070,"Kelly 7, p. 56, off. conc post-pentecost",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Dom. 5 p. Pascha (),Mass,Offertory,OfV3,Benedicite gentes,\N,2,oratiOnis,Terminal,7,1,hhgf-h-dfdf-ff-fd-hh-hf-gge-fg-egijhg-hfd-f-ff-fe-gf-h-kkg-hkjh-fgh-kkh-kkhg-hijgf-ghff-fd-ghgf-fe-,\N,No,\N,Completely,\N,1643
11,http://cantusindex.org/id/g00655,"Kelly 8, p. 56, off. conc.",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Dom. Quinquagesimae (),Mass,Offertory,OfV3,Benedictus es,\N,3,MEum,Terminal,8,1,khhg-hge-fg-egjhg-hfd-e-fe-ghgh-khhg-hge-fg-egjhg-hfd-e-ghfe-ghfe-efggf-gg-efgg-kkg-hh-g-kkg-hh-gh-kkkk-khgf-efd-dc-d-efef-efd-efggf-ghfd-gfe-f-dgfe-,\N,No,\N,Completely,\N,1686
12,http://cantusindex.org/id/g01239,"Kelly 9, p. 57, off. conc lent",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Fer. 5 de Passione (),Mass,Offertory,OfV2,Super flumina,\N,1,memineRO,Terminal,9,1,lkmnmk-l-kmnmk-l-nn-ol-nmk-l-kl-klhg-h-gh-kkh-kkl-kmnmk-l-nn-ol-nmk-l-kl-klhg-h-,\N,No,\N,Completely,\N,1802
13,http://cantusindex.org/id/g01239,"Kelly 9, p. 57, off. conc post-pentecost",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Dom. 20 p. Pent. (),Mass,Offertory,OfV2,Super flumina,\N,1,memineRO,Terminal,9,1,lkmnmk-l-kmnmk-l-nn-ol-nmk-l-kl-klhg-h-gh-kkh-kkl-kmnmk-l-nn-ol-nmk-l-kl-klhg-h-,\N,No,\N,Completely,\N,1614
17,http://cantusindex.org/id/g00871,"Kelly 11, p. 58 off. ",1,\N,Romano-Frankish (Mass),\N,\N,0,\N,Fer. 3 Maj. Hebd. (),Mass,Offertory,Of,Custodi me,\N,1,DOmine,Terminal,11,1,fh-ijhf-gfd-cf-fe-cf-fh-ijhf-gfd-defd-d-,\N,No,\N,Completely,\N,1757
