,uuid,source_id,document_id,genre,subgenre,feast_day,feast_time,initial_text,initial_folio,initial_line,ending_folio,ending_line,bibliographical_reference,cm_volume,editorial_comment,melody_number,melodyname_standardized,melodyname_diplomatic,editor,related_chant,liturgical_play_id,completeness,layer_of_addendum,condition_of_transmission,iiif_urls,volpiano
0,76459913-d885-4a4f-aef6-2e72a32d5bba,Si 29,Si 29-10-6,Antiphon,Introitus,Nativitas domini,3. Messe,Puer natus est nobis,10,6,10,10,AMS 11,II-1,25-Dez.,,,,isabel.kraft@uni-wuerzburg.de,,,,,,,gl--l--lml--k--k--lkml--l--gl--lml--kj--h---kkl--k--k--klkk--ghg--g--h--k--kl-nnn--lk--k---k--k--lkml--k--kkk--kh-jkj--jh--hkj--k--kml--k---kkk--k--kkk--klk-kj--jh--km--l--hk--k--kk-kh--h--hkhk--ghg--g-----kl--l--l--l--l--------l--lm-nm--l--k--kkj--hg--
1,02f370c0-4344-415d-ba0a-77172df6f819,Si 29,Si 29-9v-11,Tropus,Introitus-Tropus,Nativitas domini,3. Messe,Hodie cantandus est,9v,11,10,5,Nat III intr 25 (CT I),II-1,25-Dez.,,,,isabel.kraft@uni-wuerzburg.de,Si-29-10-6,,,,,,dcd-efd--cd--d----cf--gh--hg--ed--efe--d--d--g---g--hg--f---g--hk--kjh--j--hg--gh--h--ghgfed----d--cd--d--d--c--df--fe--d---g--g--dfedcd--dc--e--f--gfh--hgfed--f--d--cd--d--d--h--gf----g--hk--kjh--gh--h--k--kl--l--l--l--k--j----h--jhg--f--gh----h--h--h--g--f--gfh--h--f--g--h--g--fe--d--fed--c--cd--d--d--h----hghgfed--cd--fg-gf--f--gh--hg--jh--g--fh--h--h--f--h--f--fg--g--h----k--jh--g--hg--f--f--g--hk--g--h--k--jh--d--d--fg--gf--hkjg--fe--fg--g--g----
2,f3aeea98-039f-4a18-87f5-df757b2e243f,Rou 222,Rou 222-30v-23,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Popule meus,30v,23,31r,5,CAO 8451,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-c--de--efed--cd--d--efg--ggf--e--fe--de---c--e--ghjh-ghg--e--fg--e--fg--efedd--c--efe--dc--ef--d--dedc--c---efg--ggf--ef--d--ce--g--ghjhghg--e--fgf--e--ce--ghjh-ghg--e--fg--efgf-fe--fe--f--gh--g---gf--efg--
3,a0918809-fed4-48d3-b465-2c48facd0d19,Rou 222,Rou 222-44v-18,Spiele-Passus,Alleluia,Feria II post Pascha,Vesper,Alleluia Nonne cor nostrum*,44v,18,44v,18,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,Nur Incipit ohne Notation,,,,-----
4,a279df47-3eec-46d0-9447-144b690fa708,Rou 222,Rou 222-33-1,Spiele-Passus,Antiphon,Feria VI in Parasceve,Depositio crucis,Dum fabricator mundi,33r,1,33v,4,CAO 2453,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-d--9--d--d--cd--df-ef-ded--dc--c--d--f--fe-fd--ecd--dca---9--d--dc--fe--gfe-fed-ed--cd--d---dg-gg--ghd--dcf-ghg-hgf---gj----hjkjh--h--hfg--ghjh--gfe--def-ged-ed--cd--d--d--cd--d--c--d--fe---d--cd--ddca--cecd--ed--c--d--f--fe--d--dc--f--fg-hge--e--gh--h--h---hg-hjhg--he-fgf-fe--d--e--gh--hge--fe-gfe-fed--cd--d--c--d---e--dc--d--de--e--decd--cdca--9a--cd--df-ged-fd--cd--d--gd--c--e---gfe--fed--dc--ef--d--e--eg-gg-hg--g--gj-kh--jh--h--g--f--g--f--f--f--fe---d--d--e--g--gh--e--eg-ge--e--e--ghj--h--hg-hjh--h--gf--eg-gg--ghd--fe---d--e--fg--gh-hge--gfe-fed-ed--cd--def-ged-fd--cd--def-gh-hhfe-gd-ffc-dc-eg-hf-ffedc-efd--d---dhd--d--h--hg--kj-lkj--kh--h--gjg-hj--h--g--h--hl-kll-gh--hjg--g---gh--hl-mk-kjhg--jk--h--h--hk--jh--h--fd--f--fd--f--gf--efe--fe--dfe---fg--g--he--e--e--ed--cdec-df-fc--c--dc--cf--f--ff-gf--f--fghg--hg---fghg--eed-def-gh-hhfe-gd-ffc-dc-eg-hf-ff-fedc-efd--d--
5,b9914b59-c436-4eee-a56b-a2bf449d6d8b,Rou 222,Rou 222-4v-7-a,Spiele-Passus,Kyrie,Epiphania,Messe,Kyrie fons bonitatis*,4v,7,4v,7,"AH 47, 5",CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,Nur Incipit ohne Notation,,,,---
6,09b3dac6-114d-4f3b-a829-64a45d0a3011,Rou 222,Rou 222-44v-22,Spiele-Passus,Sequenz,Feria II post Pascha,Vesper,Dic nobis Maria,44v,22,45r,9,"AH 54, 7 (Victimae paschali laudes)",CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,-a--c--d--f--gf--ed--c--f--e--d--e--c--dd---a--c--d--f--gf--ed--c--f---e--d--e--c--d---f--h--g--h--f--g--fe--d--d--g--f--g--h--f---g--fe--d--
7,e289c22c-9941-4071-ab7a-5b2355dc4645,Rou 222,Rou 222-4v-7-d,Spiele-Passus,Agnus,Epiphania,Messe,Agnus dei*,4v,7,4v,7,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,Nur Incipit ohne Notation,,,,-
8,e738d1e2-24c2-4be8-95f7-19ad9fa0a66d,Rou 222,Rou 222-32-10,Spiele-Passus,Antiphon,Feria VI in Parasceve,Depositio crucis,Tuam crucem adoramus,32r,10,32r,12,CAO 5227,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,g--g--hk--k--k--k--k--hk---g--fg--g--gl--lm--k--j--h--h--h--j--h--jk--hj--h--g--g--h---f--g--h--k--j--k--h--gf--gh--h--g--g--
9,0da1a7ea-610a-4485-a338-e9dca22e6ab2,Rou 222,Rou 222-4v-7-b,Spiele-Passus,Alleluia,Epiphania,Messe,Alleluia Vidimus stellam*,4v,7,4v,7,AMS 18,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,Nur Incipit ohne Notation,,,,--
