ID,Volpiano
"mSCH001
Cantus ID:
Genre: Al | Mode:",1--9a--cdc--defe--ddefgfdecdddefgfdecdd---------------
"mSCH002
Cantus ID:
Genre: Al | Mode:",1--a--ccd--dcdef--edffegfefedfhghgefegfde--------------
"mSCH002a
Cantus ID:
Genre: Al | Mode:",1--c--de--edefg--edffegfefedfhghgefegfd---------------
"mSCH003
Cantus ID:
Genre: Al | Mode:",1--a--cdcdcdfed--cddegfgfededcedfgfe------------------
"mSCH003a
Cantus ID:
Genre: Al | Mode:",1--a--cdcdcdfeded--cddegfgfededdcedfgfeded------------
"mSCH003b
Cantus ID:
Genre: Al | Mode:",1--a--cdcdcdcdeffedd--cddfgfgfdeddcfeed---------------
"mSCH004
Cantus ID:
Genre: Al | Mode: D",1--a9--cdcdcdcdefdd--cddefgegfeecffffedffd------------
"mSCH005
Cantus ID:
Genre: Al | Mode:",1--cd--ddca--ceddcd--ddefggfefededcdfghgh-------------
"mSCH005a
Cantus ID:
Genre: Al | Mode:",1--ad--ddca--ceddcdddefggfefededcfghgh----------------
"mSCH006
Cantus ID:
Genre: Al | Mode:",1--cd--d--cd--ddcaccdddggfedefedcdgfedefedc-----------
"mSCH007
Cantus ID: g01125
Genre: Al | Mode: D",1--cd--d--cd--ddefghgdfeddefghgdfedcdefeed------------
"mSCH007a
Cantus ID:
Genre: Al | Mode:",1--d--cb--cd--dceghgdfedcfeed-------------------------
"mSCH007b
Cantus ID:
Genre: Al | Mode:",1--da--acb--cd--ddefghgdfeddefghgdfeddcdefeed---------
"mSCH007c
Cantus ID:
Genre: Al | Mode:",1--dc--cddca--cd--deddffghgdfeddefghgdfedcefeed-------
"mSCH008
Cantus ID:
Genre: Al | Mode:",1--cd--d--dce--dghgfhgeedgggfdeecdedfghge-------------
"mSCH009
Cantus ID: g01268
Genre: Al | Mode: D",1--cded--eed--cddffdcddfghhgfedcefdcddffd-------------
"mSCH010
Cantus ID:
Genre: Al | Mode:",1--cd--ededd--cd--ddefggfefededcdfghghkkhjg-----------
"mSCH011
Cantus ID:
Genre: Al | Mode:",1--cd--ddc--cdf--fedfefgedcfeed-----------------------
"mSCH012
Cantus ID: g02353
Genre: Al | Mode: D",1--cd-d--fdd--cedfededcfgfhghedededcceghg-------------
"mSCH012a
Cantus ID:
Genre: Al | Mode:",1--cd--dfddc--cffdedcdfgfhghfedcdefed-----------------
"mSCH013
Cantus ID: g01092
Genre: Al | Mode: D",1--cd--defeddd--cd--dhhghjhgdfecddhhghhgfed-----------
"mSCH014
Cantus ID:
Genre: Al | Mode:",1--cd--dfdeddd--cd--fedghffedfffedeed-----------------
